89.3375 	EXP 	text: text = 'هیچ'
89.3375 	EXP 	image: autoDraw = True
89.3375 	EXP 	text: autoDraw = True
90.3577 	EXP 	image: autoDraw = False
90.3577 	EXP 	text: autoDraw = False
91.3564 	EXP 	image: autoDraw = False
91.3564 	EXP 	text: autoDraw = False
91.3564 	EXP 	feedback_text_component: foreColor = 'green'
91.3564 	EXP 	feedback_text_component: height = 0.05
91.3564 	EXP 	feedback_text_component: height = 0.05
91.3564 	EXP 	feedback_text_component: height = 0.05
91.3564 	EXP 	feedback_text_component: text = 'درست'
91.3564 	EXP 	feedback_text_component: autoDraw = True
92.3558 	EXP 	feedback_text_component: autoDraw = False
92.3558 	EXP 	plus_image: autoDraw = True
93.3425 	EXP 	New trial (rep=1, index=6): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
93.3431 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
93.3883 	EXP 	plus_image: autoDraw = False
93.3883 	EXP 	image: image = 'images/circle'
93.3883 	EXP 	text: height = 0.05
93.3883 	EXP 	text: height = 0.05
93.3883 	EXP 	text: height = 0.05
93.3883 	EXP 	text: text = 'راست'
93.3883 	EXP 	image: autoDraw = True
93.3883 	EXP 	text: autoDraw = True
94.0597 	DATA 	Keypress: right
94.0683 	EXP 	image: autoDraw = False
94.0683 	EXP 	text: autoDraw = False
94.0683 	EXP 	feedback_text_component: foreColor = 'green'
94.0683 	EXP 	feedback_text_component: height = 0.05
94.0683 	EXP 	feedback_text_component: height = 0.05
94.0683 	EXP 	feedback_text_component: height = 0.05
94.0683 	EXP 	feedback_text_component: text = 'درست'
94.0683 	EXP 	feedback_text_component: autoDraw = True
95.0536 	EXP 	feedback_text_component: autoDraw = False
95.0536 	EXP 	plus_image: autoDraw = True
96.0563 	EXP 	New trial (rep=1, index=7): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
96.0574 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
96.1064 	EXP 	plus_image: autoDraw = False
96.1064 	EXP 	image: image = 'images/circle'
96.1064 	EXP 	text: height = 0.05
96.1064 	EXP 	text: height = 0.05
96.1064 	EXP 	text: height = 0.05
96.1064 	EXP 	text: text = 'راست'
96.1064 	EXP 	image: autoDraw = True
96.1064 	EXP 	text: autoDraw = True
97.0397 	DATA 	Keypress: right
97.0465 	EXP 	image: autoDraw = False
97.0465 	EXP 	text: autoDraw = False
97.0465 	EXP 	feedback_text_component: foreColor = 'green'
97.0465 	EXP 	feedback_text_component: height = 0.05
97.0465 	EXP 	feedback_text_component: height = 0.05
97.0465 	EXP 	feedback_text_component: height = 0.05
97.0465 	EXP 	feedback_text_component: text = 'درست'
97.0465 	EXP 	feedback_text_component: autoDraw = True
98.0497 	EXP 	feedback_text_component: autoDraw = False
98.0497 	EXP 	plus_image: autoDraw = True
99.0370 	EXP 	New trial (rep=2, index=0): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
99.0394 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
99.0865 	EXP 	plus_image: autoDraw = False
99.0865 	EXP 	image: image = 'images/circle'
99.0865 	EXP 	text: height = 0.05
99.0865 	EXP 	text: height = 0.05
99.0865 	EXP 	text: height = 0.05
99.0865 	EXP 	text: text = 'راست'
99.0865 	EXP 	image: autoDraw = True
99.0865 	EXP 	text: autoDraw = True
100.0819 	EXP 	image: autoDraw = False
100.0819 	EXP 	text: autoDraw = False
100.6891 	DATA 	Keypress: escape
101.6265 	EXP 	window1: mouseVisible = True
